raw_doc_sha256,clean_sha256,clean_text_path,lang,pdf_filename,pdf_url,text_path,raw_len,clean_len,survival_ratio,paragraphs_total,paragraphs_bad,paragraphs_bad_ratio,quarantine
0003ea7cf163c9f46ccec250538d6534b61e0ae154dccf33526be7d6eb0fefa3,39178c116c263c19c2edb56dd97fdb294774a0e4a89ed21f7919c89d9a82c463,data/rules_texts_cleaned_good/0003ea7cf163c9f46ccec250538d6534b61e0ae154dccf33526be7d6eb0fefa3.txt,ru,nepostizhimoe-koshmary-iz-puchiny-rules.pdf,https://www.mosigra.ru/download/rules/nepostizhimoe-koshmary-iz-puchiny-rules.pdf,data/rules_texts/0003ea7cf163c9f46ccec250538d6534b61e0ae154dccf33526be7d6eb0fefa3.txt,30661,28372,0.9253,72,3,0.0417,0
0016fae7e723b578f4a90da39ef7b89b44005b1b2aae941e41ceeaba00c9c154,66d16dcfcb0d0843e3e0d58af9b3333a25c8e314de90fd25eba7e8cf549e8330,data/rules_texts_cleaned_good/0016fae7e723b578f4a90da39ef7b89b44005b1b2aae941e41ceeaba00c9c154.txt,ru,uzhas-arkhjema-tajnoe-poslanie-rules-01.pdf,https://www.mosigra.ru/download/rules/uzhas-arkhjema-tajnoe-poslanie-rules-01.pdf,data/rules_texts/0016fae7e723b578f4a90da39ef7b89b44005b1b2aae941e41ceeaba00c9c154.txt,13901,13348,0.9602,31,0,0.0,0
0069240e8f0166a5794ecddc5d632ea27b15474a2d673352583c29f1696ae8ad,81db5a4f59c2ec4c67491914d6a17993d7cb51e816644c0b1e09337fe797c947,data/rules_texts_cleaned_good/0069240e8f0166a5794ecddc5d632ea27b15474a2d673352583c29f1696ae8ad.txt,ru,streets_rules.pdf,https://www.mosigra.ru/download/Правила/streets_rules.pdf,data/rules_texts/0069240e8f0166a5794ecddc5d632ea27b15474a2d673352583c29f1696ae8ad.txt,29255,28932,0.989,24,0,0.0,0
007cb730892ca66b97edec9bfa8a97b1198ada312cbb444d23fe057da9cf7e24,663bf69b526e238b844cf858ccac854195c8a3c4c9f2125da51afa0b87c41eff,data/rules_texts_cleaned_good/007cb730892ca66b97edec9bfa8a97b1198ada312cbb444d23fe057da9cf7e24.txt,ru,Soobrajariy_Turbo_rules-web.pdf,https://www.mosigra.ru/image/data/mosigra.product.other/558/787/Soobrajariy_Turbo_rules-web.pdf,data/rules_texts/007cb730892ca66b97edec9bfa8a97b1198ada312cbb444d23fe057da9cf7e24.txt,6760,6189,0.9155,2,0,0.0,0
00af750628d8a950545d26c56bfcc5766d75c6dcbd24ae326ce3f92a63dca5cd,08eae9290ad7f61b9b0c757ffd774da38b5dc1b5ab07ca1dc57afb48947d9307,data/rules_texts_cleaned_good/00af750628d8a950545d26c56bfcc5766d75c6dcbd24ae326ce3f92a63dca5cd.txt,ru,rules-drevnee-znanie.pdf,https://www.mosigra.ru/download/rules/rules-drevnee-znanie.pdf,data/rules_texts/00af750628d8a950545d26c56bfcc5766d75c6dcbd24ae326ce3f92a63dca5cd.txt,31238,27818,0.8905,49,2,0.0408,0
00b2ef0b02a771b328528f3dd37646b125e6645e4be07945ec523a2f31db614d,020f620e5a59fac6588eb72ca9836b5f63420d06a484ce21165bb29f39aa7da1,data/rules_texts_cleaned_good/00b2ef0b02a771b328528f3dd37646b125e6645e4be07945ec523a2f31db614d.txt,ru,voini-odina-rules.pdf,https://www.mosigra.ru/download/rules/voini-odina-rules.pdf,data/rules_texts/00b2ef0b02a771b328528f3dd37646b125e6645e4be07945ec523a2f31db614d.txt,5908,5456,0.9235,15,0,0.0,0
00c284e7fdecaccd5c3ccb63cddd700c3ab295fc0f15e71597f80869e1cc60d5,1ca5c847bea7f5a8b28a5d160608c4e731d41b985fef7bda807282f894bb3436,data/rules_texts_cleaned_good/00c284e7fdecaccd5c3ccb63cddd700c3ab295fc0f15e71597f80869e1cc60d5.txt,ru,telephone00.pdf,https://www.mosigra.ru/download/rules/telephone00.pdf,data/rules_texts/00c284e7fdecaccd5c3ccb63cddd700c3ab295fc0f15e71597f80869e1cc60d5.txt,7073,6693,0.9463,2,0,0.0,0
00c6eaa7d088934e1657c271403152aefb81ef4db4d24360433a80617f7f9519,fac89a4fc2da910bff85149e96e7fcee01d4637e8d882eebaffb9e5d2269b679,data/rules_texts_cleaned_good/00c6eaa7d088934e1657c271403152aefb81ef4db4d24360433a80617f7f9519.txt,ru,fiksiki-pochinyalki-rules.pdf,https://www.mosigra.ru/download/rules/fiksiki-pochinyalki-rules.pdf,data/rules_texts/00c6eaa7d088934e1657c271403152aefb81ef4db4d24360433a80617f7f9519.txt,2722,2680,0.9846,26,3,0.1154,0
00e284b22e9bd096f7597b5efad332fc8968bd78cd654e597a62af324f258102,6aa924e1f56df02f01ec80ca6dd439e884f2706a3f42ab69406aafa92999d90d,data/rules_texts_cleaned_good/00e284b22e9bd096f7597b5efad332fc8968bd78cd654e597a62af324f258102.txt,ru,chitai_hvatai_eng.pdf,https://www.mosigra.ru/image/data/mosigra.product.other/543/395/chitai_hvatai_eng.pdf,data/rules_texts/00e284b22e9bd096f7597b5efad332fc8968bd78cd654e597a62af324f258102.txt,3963,3734,0.9422,2,0,0.0,0
013b77e0bf0c9e7e95719dc63d8af591944ffa41d25ed802fb02fd9a88a91e9d,8beedaf227fed36d8fa9495a043cae26b4d546c0062d1ba28b8b14e3ba82a3f9,data/rules_texts_cleaned_good/013b77e0bf0c9e7e95719dc63d8af591944ffa41d25ed802fb02fd9a88a91e9d.txt,ru,TTR Asia_Rules_RU-6.pdf,https://www.mosigra.ru/download/Правила/TTR Asia_Rules_RU-6.pdf,data/rules_texts/013b77e0bf0c9e7e95719dc63d8af591944ffa41d25ed802fb02fd9a88a91e9d.txt,8508,7502,0.8818,2,0,0.0,0
